inter_seq	cat	target	pred_path
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	343	[210, 341, 343]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	321	[210, 341, 343, 321]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	323	[210, 341, 343, 321, 323]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	300	[210, 341, 343, 321, 323, 300]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	294	[210, 341, 343, 321, 323, 300, 294]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	295	[210, 341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	35	[210, 341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	297	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	316	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	346	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	218	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	223	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	306	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	173	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	331	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336]	1	322	[210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	341	[341]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	343	[341, 343]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	321	[341, 343, 321]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	323	[341, 343, 321, 323]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	300	[341, 343, 321, 323, 300]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	294	[341, 343, 321, 323, 300, 294]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	295	[341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	35	[341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	297	[341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	316	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	346	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	218	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	223	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	306	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	173	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	331	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]	1	322	[341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	343	[343]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	321	[343, 321]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	323	[343, 321, 323]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	300	[343, 321, 323, 300]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	294	[343, 321, 323, 300, 294]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	295	[343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	35	[343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	297	[343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	316	[343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	346	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	218	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	223	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	306	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	173	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	331	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]	1	322	[343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	321	[321]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	323	[321, 323]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	300	[321, 323, 300]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	294	[321, 323, 300, 294]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	295	[321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	35	[321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	297	[321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	316	[321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	346	[321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	218	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	223	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	306	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	173	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	331	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]	1	322	[321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	323	[323]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	300	[323, 300]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	294	[323, 300, 294]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	295	[323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	35	[323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	297	[323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	316	[323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	346	[323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	218	[323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	223	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	306	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	173	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	331	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]	1	322	[323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	300	[300]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	294	[300, 294]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	295	[300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	35	[300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	297	[300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	316	[300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	346	[300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	218	[300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	223	[300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	306	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	173	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	331	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	322	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	322	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	322	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	322	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	322	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
[305, 172, 54, 314, 1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]	1	322	[300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331, 322]
