inter_seq	cat	target	pred_path
[305, 172, 54, 314]	3	321	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
[305, 172, 54, 314]	3	323	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
[305, 172, 54, 314]	3	300	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
[305, 172, 54, 314]	3	294	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
[305, 172, 54, 314]	3	295	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314]	3	35	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314]	3	297	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314]	3	316	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314]	3	346	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314]	3	218	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314]	3	223	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314]	3	306	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314]	3	173	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314]	3	331	[1, 350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1]	3	350	[350]
[305, 172, 54, 314, 1]	3	352	[350, 352]
[305, 172, 54, 314, 1]	3	301	[350, 352, 301]
[305, 172, 54, 314, 1]	3	302	[350, 352, 301, 302]
[305, 172, 54, 314, 1]	3	310	[350, 352, 301, 302, 310]
[305, 172, 54, 314, 1]	3	312	[350, 352, 301, 302, 310, 312]
[305, 172, 54, 314, 1]	3	337	[350, 352, 301, 302, 310, 312, 337]
[305, 172, 54, 314, 1]	3	319	[350, 352, 301, 302, 310, 312, 337, 319]
[305, 172, 54, 314, 1]	3	311	[350, 352, 301, 302, 310, 312, 337, 319, 311]
[305, 172, 54, 314, 1]	3	336	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336]
[305, 172, 54, 314, 1]	3	210	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
[305, 172, 54, 314, 1]	3	341	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
[305, 172, 54, 314, 1]	3	343	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
[305, 172, 54, 314, 1]	3	321	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
[305, 172, 54, 314, 1]	3	323	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
[305, 172, 54, 314, 1]	3	300	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
[305, 172, 54, 314, 1]	3	294	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
[305, 172, 54, 314, 1]	3	295	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1]	3	35	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1]	3	297	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1]	3	316	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1]	3	346	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1]	3	218	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1]	3	223	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1]	3	306	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1]	3	173	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1]	3	331	[350, 352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350]	3	352	[352]
[305, 172, 54, 314, 1, 350]	3	301	[352, 301]
[305, 172, 54, 314, 1, 350]	3	302	[352, 301, 302]
[305, 172, 54, 314, 1, 350]	3	310	[352, 301, 302, 310]
[305, 172, 54, 314, 1, 350]	3	312	[352, 301, 302, 310, 312]
[305, 172, 54, 314, 1, 350]	3	337	[352, 301, 302, 310, 312, 337]
[305, 172, 54, 314, 1, 350]	3	319	[352, 301, 302, 310, 312, 337, 319]
[305, 172, 54, 314, 1, 350]	3	311	[352, 301, 302, 310, 312, 337, 319, 311]
[305, 172, 54, 314, 1, 350]	3	336	[352, 301, 302, 310, 312, 337, 319, 311, 336]
[305, 172, 54, 314, 1, 350]	3	210	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210]
[305, 172, 54, 314, 1, 350]	3	341	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
[305, 172, 54, 314, 1, 350]	3	343	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
[305, 172, 54, 314, 1, 350]	3	321	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
[305, 172, 54, 314, 1, 350]	3	323	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
[305, 172, 54, 314, 1, 350]	3	300	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
[305, 172, 54, 314, 1, 350]	3	294	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
[305, 172, 54, 314, 1, 350]	3	295	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350]	3	35	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350]	3	297	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350]	3	316	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350]	3	346	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350]	3	218	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350]	3	223	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350]	3	306	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350]	3	173	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350]	3	331	[352, 301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352]	3	301	[301]
[305, 172, 54, 314, 1, 350, 352]	3	302	[301, 302]
[305, 172, 54, 314, 1, 350, 352]	3	310	[301, 302, 310]
[305, 172, 54, 314, 1, 350, 352]	3	312	[301, 302, 310, 312]
[305, 172, 54, 314, 1, 350, 352]	3	337	[301, 302, 310, 312, 337]
[305, 172, 54, 314, 1, 350, 352]	3	319	[301, 302, 310, 312, 337, 319]
[305, 172, 54, 314, 1, 350, 352]	3	311	[301, 302, 310, 312, 337, 319, 311]
[305, 172, 54, 314, 1, 350, 352]	3	336	[301, 302, 310, 312, 337, 319, 311, 336]
[305, 172, 54, 314, 1, 350, 352]	3	210	[301, 302, 310, 312, 337, 319, 311, 336, 210]
[305, 172, 54, 314, 1, 350, 352]	3	341	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341]
[305, 172, 54, 314, 1, 350, 352]	3	343	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
[305, 172, 54, 314, 1, 350, 352]	3	321	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
[305, 172, 54, 314, 1, 350, 352]	3	323	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
