130
30	113	1
55	95	2
47	109	1
28	77	1
29	81	1
14	77	1
62	91	2
30	106	1
3	77	1
45	102	1
23	77	1
10	69	1
30	81	1
61	82	2
8	68	1
34	86	1
57	103	2
20	77	1
27	77	1
41	94	1
32	82	1
58	77	2
61	84	2
15	75	1
17	77	1
55	66	2
39	92	1
47	105	1
30	78	1
52	111	1
35	87	1
58	97	2
59	105	2
56	101	2
22	108	1
20	108	1
5	107	1
16	76	1
59	104	2
40	93	1
32	84	1
56	102	2
60	78	2
57	71	2
46	104	1
25	77	1
56	100	2
32	108	1
15	98	1
17	108	1
30	80	1
62	89	2
1	64	1
14	74	1
62	87	2
30	79	1
18	75	1
44	100	1
57	72	2
19	108	1
17	75	1
37	89	1
15	76	1
58	98	2
31	80	1
18	76	1
24	77	1
55	64	2
2	65	1
62	85	2
60	80	2
16	74	1
26	77	1
57	73	2
14	98	1
62	92	2
38	91	1
4	67	1
15	74	1
60	81	2
29	113	1
13	74	1
63	69	2
7	68	1
53	112	1
58	75	2
26	108	1
16	75	1
8	69	1
17	98	1
5	67	1
36	88	1
62	94	2
51	110	1
22	101	1
35	88	1
61	83	2
7	69	1
27	108	1
31	81	1
42	95	1
55	99	2
63	107	2
49	108	1
22	77	1
54	112	1
17	76	1
45	101	1
25	108	1
28	108	1
14	97	1
14	76	1
33	85	1
48	108	1
60	113	2
57	70	2
12	72	1
11	96	1
12	103	1
29	79	1
18	98	1
63	67	2
43	99	1
3	66	1
59	110	2
29	78	1
21	77	1
13	97	1
14	75	1
11	70	1
