116
2921	1
982	2
941	3
2928	4
2305	5
2929	6
2930	7
2931	8
2932	9
2933	10
1581	11
209	12
1041	13
942	14
944	15
945	16
129	17
943	18
939	19
940	20
946	21
947	22
556	23
2936	24
948	25
785	26
980	27
950	28
1043	29
2956	30
2957	31
149	32
2961	33
2962	34
2963	35
2964	36
2965	37
2966	38
2967	39
2968	40
2969	41
2994	42
3034	43
3035	44
949	45
358	46
3117	47
3121	48
3122	49
3123	50
793	51
3124	52
378	53
3125	54
60	55
67	56
71	57
76	58
80	59
99	60
100	61
101	62
102	63
114	64
139	65
116	66
323	67
325	68
326	69
159	70
145	71
160	72
162	73
172	74
171	75
170	76
173	77
231	78
230	79
232	80
233	81
243	82
244	83
245	84
292	85
291	86
290	87
288	88
294	89
293	90
289	91
296	92
297	93
295	94
115	95
146	96
169	97
174	98
117	99
137	100
135	101
136	102
161	103
189	104
190	105
234	106
324	107
246	108
191	109
193	110
194	111
192	112
235	113
