164
1	64	1
2	65	1
3	66	1
4	67	1
5	67	1
6	67	1
7	68	1
8	68	1
9	68	1
8	69	1
7	69	1
10	69	1
11	70	1
11	71	1
12	72	1
12	73	1
13	74	1
14	74	1
15	74	1
16	74	1
17	75	1
14	75	1
18	75	1
15	75	1
16	75	1
17	76	1
14	76	1
18	76	1
15	76	1
16	76	1
19	77	1
20	77	1
17	77	1
3	77	1
14	77	1
18	77	1
15	77	1
21	77	1
22	77	1
23	77	1
24	77	1
25	77	1
26	77	1
27	77	1
28	77	1
29	78	1
30	78	1
29	79	1
30	79	1
29	80	1
30	80	1
31	80	1
29	81	1
30	81	1
31	81	1
32	82	1
32	83	1
32	84	1
33	85	1
34	86	1
35	87	1
36	88	1
35	88	1
37	89	1
33	90	1
38	91	1
39	92	1
40	93	1
41	94	1
42	95	1
11	96	1
13	97	1
14	97	1
18	97	1
17	98	1
14	98	1
18	98	1
15	98	1
43	99	1
44	100	1
22	101	1
45	101	1
45	102	1
12	103	1
46	104	1
46	105	1
47	105	1
29	106	1
30	106	1
5	107	1
10	107	1
19	108	1
20	108	1
32	108	1
17	108	1
3	108	1
48	108	1
22	108	1
25	108	1
27	108	1
26	108	1
28	108	1
49	108	1
50	109	1
47	109	1
51	110	1
51	111	1
52	111	1
50	111	1
53	112	1
54	112	1
29	113	1
30	113	1
55	64	2
55	95	2
55	66	2
55	99	2
56	101	2
56	102	2
56	100	2
56	65	2
57	71	2
57	96	2
57	70	2
57	72	2
57	103	2
57	73	2
58	97	2
58	76	2
58	75	2
58	74	2
58	77	2
58	98	2
59	104	2
59	105	2
59	109	2
59	112	2
59	110	2
59	111	2
60	79	2
60	78	2
60	80	2
60	81	2
60	106	2
60	113	2
61	82	2
61	83	2
61	84	2
61	108	2
62	88	2
62	91	2
62	87	2
62	86	2
62	85	2
62	90	2
62	89	2
62	94	2
62	92	2
62	93	2
63	67	2
63	107	2
63	68	2
63	69	2
